Username,User ID,Goals,Assists,Clean Sheets,Team Emoji
miroslav_suka,1035106895125561345,1,0,0,":RealMadrid:"
"amzz.fv",1259794000664330302,4,0,0,":RealMadrid:"
lyricalzo,1247820175865020438,0,3,0,":RealMadrid:"
whyuhereboy,819663376279142401,1,0,0,":RealMadrid:"
duckdoestuffyt,1281922048205262939,0,2,0,":RealMadrid:"
"tmthy.bhr",882251236265586759,1,0,0,":Borussia_Dortmund:"
softerdoge2284,968074505375318056,1,1,0,":Borussia_Dortmund:"
enes466,870383904337575966,0,1,0,":Borussia_Dortmund:"
achrafhakimi_fan,769009468032942091,1,0,0,":fulmanise:"
"antixer.",859147873412841482,1,0,0,":InterMiamiDLSLogo300x300:"
idontgetlocked,1281634131096371232,0,1,0,":InterMiamiDLSLogo300x300:"
most_23,783007193770885121,2,0,0,":InterMiamiDLSLogo300x300:"
marczzezclap,1171119057362235465,2,2,0,":alahly:"
ghstvnn,,2,1,0,":alahly:"
rayan187,917449913397280838,1,0,0,":alahly:"
luhxenn,694895730933891143,1,1,0,":alahly:"
krendyy,844212965066276865,0,1,0,":alahly:"
chopacm,1268281605739249738,2,1,0,":alahly:"
"kennyrs._",1146977011651334194,3,1,0,":alahly:"
aurorarogu,1169693616294342679,2,0,0,":alahly:"
panzer420,897249246070317127,0,1,0,":alahly:"
kinggames45_81115,1176309085994492085,1,2,0,":monterrey"
dagreat7,1003425514591100989,2,1,0,":monterrey"
"._sanyan_.",595408457054683147,1,0,0,":monterrey"
rmnhu,1079846545777770666,1,0,0,":mamelodisundowns:"
weelzom,1369755534768738559,3,0,0,":Porto:"
kaixira,892882299727773757,1,0,0,":Porto:"
susy_baka666,1005154936310468618,1,2,0,":Porto:"
n3_rk,1301100271975272451,3,0,0,":Porto:"
jack900191,846792712493596722,0,2,0,":Porto:"
starplayer2933,829424252935077908,1,2,0,":Juventus:"
pene_20000,707638545510039574,2,0,0,":Juventus:"
osk_kk,1122312579998548088,0,1,0,":Juventus:"
truly.kaven,,3,0,0,":auckland1:"
duckguest,1013871721113210890,0,1,0,":auckland1:"
nothala_979,1315332672347963535,0,1,0,":auckland1:"
asukibazooki,1250080361182924846,0,1,0,":auckland1:"
fravry,957568538753765387,1,0,0,":AtleticoMadrid:"
ralox_36t,1226150824653099088,1,0,0,":AtleticoMadrid:"
bearthebear_8000,992499486632976414,0,1,0,":AtleticoMadrid:"
"xd.asadthehero",,1,0,0,":Benfica:"
santiago_1411,972525040346218599,1,0,0,":Benfica:"
nemanjaradonjic,1184849257941958671,1,0,0,":Benfica:"
sanxrt,795671835508998194,2,0,0,":bocajuniorslogo:"
imbebeq1,1386207475606224898,1,0,0,":bocajuniorslogo:"
edgar09895,1162120749176344627,1,0,0,":bocajuniorslogo:"
"xsolidwolf.",1021479451076346008,0,2,0,":bocajuniorslogo:"
limbo2646,706527780384276481,1,0,0,":palmeiras:"
mohememd10978_71723,1149420706015232060,1,0,0,":Bayern_Munich:"
farat1233,1271449500036235347,2,1,0,":Bayern_Munich:"
ghostv22,1049030360173908060,1,2,0,":Bayern_Munich:"
"sony.com1_31278",1266163648091390032,0,1,0,":Bayern_Munich:"
kv1zeo,1367244294511136989,6,0,0,":pachuca:"
bloodyrevenge1545,655318609928781834,2,2,0,":pachuca:"
spr1ng_capy,899379574666834010,1,3,0,":pachuca:"
sigma1092468,729601663584698398,1,0,0,":pachuca:"
11lexsud11,1231657650136027136,0,1,0,":pachuca:"
fran1nho,1130688753195823156,1,0,0,":clubederegatasdoflamengologoquak:"
igcx,855539562252075029,1,0,0,":clubederegatasdoflamengologoquak:"
"eof._",863452659351289886,2,1,0,":losangeles:"
subzero_shin,1251698828634099762,3,1,0,":losangeles:"
ward2008,1047670862964346970,0,1,0,":losangeles:"
englishman,,0,1,0,":losangeles:"
xcorn,,1,1,0,":losangeles:"
rizzyanot11,794905809233379341,1,3,0,":FC_Chelsea_Logo:"
panyatka,1097484243174695016,2,3,0,":FC_Chelsea_Logo:"
bgdnx,927612969771208705,1,0,0,":FC_Chelsea_Logo:"
thomas3223,1183306259395518514,2,1,0,":FC_Chelsea_Logo:"
"utts.riadis23",832881933145997322,2,0,0,":FC_Chelsea_Logo:"
"changed.1",1335384952648237086,1,0,0,":clubamerica:"
"21.jimy",1339349395400822835,2,1,0,":3_seattlesounders:"
dingboisvro,1387735950565834825,1,0,0,":3_seattlesounders:"
d4shielin,980536110365159465,0,1,0,":3_seattlesounders:"
speedyspeedyboy_18931,1283462105269534782,0,1,0,":3_seattlesounders:"
